Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
3044,2016-05-03,2016-10-31,58.5,74.7,0.276923076923077,2016-05-03_2016-10-31,29
3045,2016-05-03,2016-10-31,107.5,110.5,0.027906976744186046,2016-05-03_2016-10-31,109
2347,2016-05-03,2016-10-31,31.3,33.7,0.07667731629392978,2016-05-03_2016-10-31,87
3189,2016-05-03,2016-10-31,62.3,72.9,0.1701444622792939,2016-05-03_2016-10-31,46
3231,2016-05-03,2016-10-31,18.7,23.8,0.2727272727272728,2016-05-03_2016-10-31,30
2345,2016-05-03,2016-10-31,29.3,50.4,0.720136518771331,2016-05-03_2016-10-31,5
3406,2016-05-03,2016-10-31,44.8,50.4,0.12500000000000003,2016-05-03_2016-10-31,67
2344,2016-05-03,2016-10-31,8.6,9.92,0.1534883720930233,2016-05-03_2016-10-31,53
3443,2016-05-03,2016-10-31,73.5,80.5,0.09523809523809523,2016-05-03_2016-10-31,77
3481,2016-05-03,2016-10-31,9.8,10.65,0.08673469387755098,2016-05-03_2016-10-31,81
2337,2016-05-03,2016-10-31,3.35,4.37,0.3044776119402985,2016-05-03_2016-10-31,25
3532,2016-05-03,2016-10-31,30.95,35.25,0.13893376413570277,2016-05-03_2016-10-31,58
3673,2016-05-03,2016-10-31,68.2,50.5,-0.25953079178885635,2016-05-03_2016-10-31,195
2330,2016-05-03,2016-10-31,147.5,188.5,0.27796610169491526,2016-05-03_2016-10-31,28
3682,2016-05-03,2016-10-31,10.15,10.15,0.0,2016-05-03_2016-10-31,128
2327,2016-05-03,2016-10-31,52.7,63.6,0.206831119544592,2016-05-03_2016-10-31,38
6213,2016-05-03,2016-10-31,30.15,34.2,0.13432835820895536,2016-05-03_2016-10-31,61
2451,2016-05-03,2016-10-31,90.6,87.2,-0.037527593818984455,2016-05-03_2016-10-31,157
1101,2016-06-01,2016-11-30,29.9,36.85,0.23244147157190645,2016-06-01_2016-11-30,25
1710,2016-06-01,2016-11-30,19.85,22.2,0.11838790931989913,2016-06-01_2016-11-30,64
2015,2016-06-01,2016-11-30,44.65,45.3,0.01455767077267634,2016-06-01_2016-11-30,103
1907,2016-06-01,2016-11-30,9.78,9.61,-0.017382413087934555,2016-06-01_2016-11-30,123
2006,2016-06-01,2016-11-30,18.95,21.8,0.1503957783641162,2016-06-01_2016-11-30,50
2002,2016-06-01,2016-11-30,20.95,25.0,0.1933174224343676,2016-06-01_2016-11-30,34
2101,2016-06-01,2016-11-30,26.9,29.3,0.08921933085501867,2016-06-01_2016-11-30,70
2206,2016-06-01,2016-11-30,21.4,21.05,-0.01635514018691579,2016-06-01_2016-11-30,122
1909,2016-06-01,2016-11-30,13.25,16.2,0.22264150943396221,2016-06-01_2016-11-30,30
2362,2016-06-01,2016-11-30,27.85,27.8,-0.0017953321364452678,2016-06-01_2016-11-30,115
1507,2016-06-01,2016-11-30,47.7,44.65,-0.06394129979035648,2016-06-01_2016-11-30,157
1802,2016-06-01,2016-11-30,13.75,13.5,-0.01818181818181818,2016-06-01_2016-11-30,124
2393,2016-06-01,2016-11-30,46.95,46.5,-0.009584664536741274,2016-06-01_2016-11-30,119
1789,2016-06-01,2016-11-30,46.55,39.5,-0.15145005370569276,2016-06-01_2016-11-30,183
2501,2016-06-01,2016-11-30,13.85,18.6,0.3429602888086644,2016-06-01_2016-11-30,16
2511,2016-06-01,2016-11-30,11.5,10.8,-0.060869565217391244,2016-06-01_2016-11-30,155
1723,2016-06-01,2016-11-30,110.0,111.0,0.00909090909090909,2016-06-01_2016-11-30,109
2609,2016-06-01,2016-11-30,7.9,5.75,-0.2721518987341772,2016-06-01_2016-11-30,192
2707,2016-06-01,2016-11-30,189.5,170.5,-0.10026385224274406,2016-06-01_2016-11-30,172
1722,2016-06-01,2016-11-30,43.25,40.55,-0.06242774566473995,2016-06-01_2016-11-30,156
2727,2016-06-01,2016-11-30,119.0,138.0,0.15966386554621848,2016-06-01_2016-11-30,47
2392,2016-06-01,2016-11-30,41.55,36.0,-0.13357400722021653,2016-06-01_2016-11-30,181
2049,2016-06-01,2016-11-30,140.5,132.5,-0.05693950177935943,2016-06-01_2016-11-30,151
1440,2016-06-01,2016-11-30,12.85,12.3,-0.04280155642023338,2016-06-01_2016-11-30,143
9945,2016-06-01,2016-11-30,37.4,38.1,0.01871657754010703,2016-06-01_2016-11-30,98
2227,2016-06-01,2016-11-30,215.0,200.0,-0.06976744186046512,2016-06-01_2016-11-30,158
6452,2016-06-01,2016-11-30,367.0,420.5,0.14577656675749318,2016-06-01_2016-11-30,53
6456,2016-06-01,2016-11-30,91.8,91.4,-0.004357298474945441,2016-06-01_2016-11-30,117
2207,2016-06-01,2016-11-30,314.5,366.5,0.16534181240063592,2016-06-01_2016-11-30,45
6505,2016-06-01,2016-11-30,87.9,107.5,0.222980659840728,2016-06-01_2016-11-30,29
8454,2016-06-01,2016-11-30,229.5,194.5,-0.15250544662309368,2016-06-01_2016-11-30,185
2204,2016-06-01,2016-11-30,24.0,26.8,0.1166666666666667,2016-06-01_2016-11-30,65
8464,2016-06-01,2016-11-30,286.5,357.0,0.24607329842931938,2016-06-01_2016-11-30,22
9904,2016-06-01,2016-11-30,43.55,39.85,-0.08495981630309979,2016-06-01_2016-11-30,166
2201,2016-06-01,2016-11-30,27.85,27.65,-0.007181328545781071,2016-06-01_2016-11-30,118
9910,2016-06-01,2016-11-30,136.5,119.5,-0.12454212454212454,2016-06-01_2016-11-30,178
9914,2016-06-01,2016-11-30,147.0,139.5,-0.05102040816326531,2016-06-01_2016-11-30,148
2106,2016-06-01,2016-11-30,52.0,46.4,-0.10769230769230773,2016-06-01_2016-11-30,173
9917,2016-06-01,2016-11-30,90.0,87.0,-0.03333333333333333,2016-06-01_2016-11-30,131
