"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"853","2376","技嘉","10",="02月25日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率13.88%，且02月25日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為6.82倍﹝第十二款﹞","111.03.01","145.50    ","8.57      ",
"853","2497","怡利電","10","最近九十個營業日起迄兩個營業日之收盤價漲幅達252.67% ﹝第二款﹞。","111.03.01","115.50    ","721.88    ",
"853","2867","三商壽","10",="02月25日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率13.07%，且02月25日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為7.11倍﹝第十二款﹞","111.03.01","8.81      ","7.59      ",
"853","3673","TPK-KY","10",="02月25日之最近六個營業日之借券賣出成交量占最近六個營業日總成交量比率14.80%，且02月25日借券賣出成交量較最近六十個營業日之日平均借券賣出成交量放大為5.18倍﹝第十二款﹞","111.03.01","38.40     ","13.11     ",
"853","5706","鳳凰","10",="02月25日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率75.55%，且02月25日當日沖銷成交量占該日總成交量比率77.65%﹝第十三款﹞","111.03.01","62.50     ","60.10     ",
"853","6205","詮欣","10","最近九十個營業日起迄兩個營業日之收盤價漲幅達197.17% ﹝第二款﹞。","111.03.01","89.30     ","49.89     ",
"853","9105","泰金寶-DR","10","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價80.66 % ﹝第八款﹞。","111.03.01","4.43      ","-----     ",
"854",="045210","大榮永豐13購02","14","最近六個營業日累積收盤價跌幅達34.44%﹝第一款﹞。","111.02.25","0.10      ","-----     ",
"854","1435","中福","14","最近六個營業日累積收盤價漲幅達33.72%﹝第一款﹞。且02月25日之成交量為最近六十個營業日日平均成交量之8.88倍﹝第三款﹞。","111.02.25","48.20     ","-----     ",
"854","1708","東鹼","14",="02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.99%，且02月24日當日沖銷成交量占該日總成交量比率72.68%﹝第十三款﹞","111.02.25","40.65     ","25.09     ",
"854","2032","新鋼","14","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.67倍。當日之成交量較最近六十個營業日之平均成交量放大為6.41倍﹝第九款﹞。","111.02.25","26.95     ","19.11     ",
"854","2358","廷鑫","14",="02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率61.22%，且02月24日當日沖銷成交量占該日總成交量比率65.73%﹝第十三款﹞","111.02.25","25.85     ","37.46     ",
"854","2607","榮運","14",="02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率65.42%，且02月24日當日沖銷成交量占該日總成交量比率75.12%﹝第十三款﹞","111.02.25","37.55     ","48.14     ",
"854","2611","志信","14","最近六個營業日累積收盤價漲幅達25.91%。且02月25日之成交量為最近六十個營業日日平均成交量之11.97 倍﹝第三款﹞。且02月25日之週轉率為26.49%﹝第四款﹞。02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率64.21%，且02月24日當日沖銷成交量占該日總成交量比率75.19%﹝第十三款﹞","111.02.25","23.10     ","8.28      ",
"854","2613","中櫃","14","最近六個營業日累積收盤價漲幅達30.22%。且02月25日之成交量為最近六十個營業日日平均成交量之24.54 倍﹝第三款﹞。且02月25日之週轉率為18.30%﹝第四款﹞。","111.02.25","32.05     ","31.12     ",
"854","2731","雄獅","14","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為7.26倍。當日之成交量較最近六十個營業日之平均成交量放大為8.19倍﹝第九款﹞。02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率68.95%，且02月24日當日沖銷成交量占該日總成交量比率75.52%﹝第十三款﹞","111.02.25","104.00    ","-----     ",
"854","2906","高林","14",="02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率62.58%，且02月24日當日沖銷成交量占該日總成交量比率65.43%﹝第十三款﹞","111.02.25","23.35     ","51.89     ",
"854","4148","全宇生技-KY","14","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.99倍。當日之成交量較最近六十個營業日之平均成交量放大為 16.85倍﹝第九款﹞。","111.02.25","51.70     ","21.54     ",
"854","6205","詮欣","14","最近九十個營業日起迄兩個營業日之收盤價漲幅達191.39% ﹝第二款﹞。","111.02.25","88.00     ","49.16     ",
"854","8201","無敵","14",="02月24日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率89.54%，且02月24日當日沖銷成交量占該日總成交量比率93.31%﹝第十三款﹞","111.02.25","15.65     ","7.49      ",
